City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,san carlos de bariloche,-41.1456,-71.3082,64.15,42,0,9.22,AR,2024-04-05
244,suolahti,62.5642,25.8536,25.16,94,100,9.28,FI,2024-04-05
245,cabedelo,-6.9811,-34.8339,88.47,76,14,11.95,BR,2024-04-05
246,wynyard,-41.0,145.7167,55.87,90,100,11.59,AU,2024-04-05
247,st. john's,47.5649,-52.7093,34.16,93,100,11.5,CA,2024-04-05
248,kone,-21.0595,164.8658,74.25,90,94,3.11,NC,2024-04-05
249,igarka,67.4667,86.5833,12.02,93,100,21.99,RU,2024-04-05
250,happy valley-goose bay,53.3168,-60.3315,34.11,75,75,13.8,CA,2024-04-05
251,labytnangi,66.6572,66.4183,-0.62,77,5,15.93,RU,2024-04-05
252,anaconda,46.1285,-112.9423,56.39,40,100,11.68,US,2024-04-05
253,tazovsky,67.4667,78.7,31.46,98,100,22.01,RU,2024-04-05
254,malanje,-9.5402,16.341,67.39,96,100,3.96,AO,2024-04-05
255,sechura,-5.5569,-80.8222,84.13,57,88,12.82,PE,2024-04-05
256,conduaga,8.862,117.4893,76.33,78,71,2.82,PH,2024-04-05
257,mana,5.6592,-53.7767,84.79,67,100,10.22,GF,2024-04-05
258,uturoa,-16.7333,-151.4333,84.13,75,100,9.44,PF,2024-04-05
259,margate,51.3813,1.3862,57.87,72,100,5.01,GB,2024-04-05
260,zhanaozen,43.3,52.8,51.57,76,11,6.33,KZ,2024-04-05
261,shimoda,34.6667,138.95,47.1,87,79,11.68,JP,2024-04-05
262,general acha,-37.377,-64.6043,83.43,20,0,5.68,AR,2024-04-05
263,nemuro,43.3236,145.575,35.01,83,100,10.2,JP,2024-04-05
264,afif,23.9065,42.9172,75.43,45,100,15.32,SA,2024-04-05
265,sao tome,0.3365,6.7273,83.41,76,100,4.72,ST,2024-04-05
266,kourou,5.1552,-52.6478,87.85,64,98,8.57,GF,2024-04-05
267,kerben,40.2951,72.1863,48.7,40,100,3.31,KG,2024-04-05
268,sirte,31.2089,16.5887,63.99,76,21,11.65,LY,2024-04-05
269,port saint john's,-31.6229,29.5448,66.6,86,100,9.19,ZA,2024-04-05
270,"laikit, laikit ii (dimembe)",1.4792,124.9735,74.25,100,40,1.14,ID,2024-04-05
271,pasuquin,18.3328,120.6177,80.55,94,40,2.3,PH,2024-04-05
272,geraldton,-28.7667,114.6,64.81,82,40,3.44,AU,2024-04-05
273,beau vallon,-20.4189,57.6953,77.2,94,75,3.44,MU,2024-04-05
274,castanos,26.7833,-101.4167,80.91,28,100,9.13,MX,2024-04-05
275,isiro,2.7739,27.616,70.03,96,100,2.68,CD,2024-04-05
276,egersund,58.4513,5.9997,41.09,81,100,15.26,NO,2024-04-05
277,basco,20.4487,121.9702,80.8,76,0,15.28,PH,2024-04-05
278,chonchi,-42.6128,-73.8092,59.13,71,97,1.07,CL,2024-04-05
279,kaka,37.3482,59.6143,59.67,35,86,3.89,TM,2024-04-05
280,cafayate,-26.073,-65.9761,71.58,69,100,10.4,AR,2024-04-05
281,dzhambeyty,50.2536,52.595,53.62,58,98,9.31,KZ,2024-04-05
282,rio preto da eva,-2.6994,-59.6997,75.31,98,100,3.98,BR,2024-04-05
283,hays,30.0502,-98.0336,85.6,27,100,8.99,US,2024-04-05
284,zeya,53.75,127.2667,22.48,82,100,7.23,RU,2024-04-05
285,yanam,16.7333,82.2167,75.99,91,4,0.76,IN,2024-04-05
286,shangqiu,34.45,115.65,54.0,64,100,3.98,CN,2024-04-05
287,pavilly,49.567,0.9545,61.05,86,100,9.06,FR,2024-04-05
288,page,36.9147,-111.4558,58.1,33,100,37.0,US,2024-04-05
289,teruel,40.6667,-0.6667,57.47,40,99,10.89,ES,2024-04-05
290,poltava,49.5937,34.5407,46.35,54,12,2.21,UA,2024-04-05
291,anar darah,32.7587,61.654,70.95,23,0,1.83,AF,2024-04-05
292,stornoway,58.2093,-6.3865,42.76,89,100,16.11,GB,2024-04-05
293,qamdo,31.1667,97.2333,38.32,46,100,5.66,CN,2024-04-05
294,dinhata,26.1333,89.4667,79.79,56,20,7.27,IN,2024-04-05
295,alice springs,-23.7,133.8833,59.22,50,0,3.44,AU,2024-04-05
296,broome,42.2506,-75.833,41.67,80,100,13.8,US,2024-04-05
297,talnakh,69.4865,88.3972,9.21,84,100,16.02,RU,2024-04-05
298,flin flon,54.7682,-101.865,40.75,81,100,13.65,CA,2024-04-05
299,trinidad,-14.8333,-64.9,91.38,70,75,3.44,BO,2024-04-05
300,kupang,-10.1667,123.5833,81.18,94,89,3.44,ID,2024-04-05
301,tralee,52.2704,-9.7026,51.89,92,100,10.92,IE,2024-04-05
302,georgetown,5.4112,100.3354,87.75,71,20,5.99,MY,2024-04-05
303,taltal,-25.4,-70.4833,69.31,71,33,6.4,CL,2024-04-05
304,puerto baquerizo moreno,-0.9,-89.6,86.99,62,40,9.22,EC,2024-04-05
305,puerto berrio,6.4916,-74.4033,97.18,43,32,2.19,CO,2024-04-05
306,weno,7.4515,151.8468,82.35,83,100,8.05,FM,2024-04-05
